"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000001200347"	-10.717	-88.333
"ZINC000064950190"	-10.564	-88.327
"ZINC000409352615"	-10.272	-88.301
"ZINC000004064809"	-10.162	-88.299
"ZINC000095475774"	-10.150	-88.290
"ZINC000012199558"	-10.392	-88.283
"ZINC000012375380"	-11.227	-88.270
"ZINC000022997421"	-10.801	-88.259
"ZINC000101294022"	-11.379	-88.256
"ZINC000003492699"	-10.031	-88.245
"ZINC000001224591"	-10.080	-88.244
"ZINC000002790280"	-10.300	-88.244
"ZINC000016839898"	-10.930	-88.242
"ZINC000032975674"	-10.139	-88.237
"ZINC000035380125"	-10.678	-88.233
