"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000022627357"	-10.504	-77.728
"ZINC000002659468"	-11.119	-77.694
"ZINC000013719408"	-10.031	-77.694
"ZINC000021171995"	-10.202	-77.668
"ZINC000006428262"	-10.086	-77.668
"ZINC000022609469"	-10.988	-77.667
"ZINC000021936181"	-10.060	-77.653
"ZINC000022135253"	-10.042	-77.648
"ZINC000000936175"	-10.452	-77.643
"ZINC000041076361"	-10.743	-77.642
"ZINC000020417452"	-10.018	-77.593
"ZINC000022875356"	-10.781	-77.565
"ZINC000002713446"	-10.178	-77.562
"ZINC000020070884"	-10.123	-77.545
"ZINC001776111734"	-10.110	-77.518
"ZINC000005060086"	-10.069	-77.489
"ZINC000100477058"	-10.069	-77.489
"ZINC000100477062"	-10.069	-77.489
"ZINC000022429468"	-10.702	-77.483
"ZINC000009584955"	-10.018	-77.480
"ZINC000408630447"	-10.065	-77.467
"ZINC000019743740"	-10.709	-77.442
"ZINC000013283315"	-10.102	-77.424
"ZINC000020356574"	-10.332	-77.417
"ZINC000004340744"	-10.013	-77.397
"ZINC000009414958"	-10.016	-77.387
"ZINC000257283753"	-10.305	-77.379
"ZINC000002931304"	-10.254	-77.378
"ZINC000222576517"	-10.570	-77.355
"ZINC000022854565"	-10.793	-77.351
"ZINC000102588010"	-10.770	-77.318
"ZINC000409332027"	-10.228	-77.315
"ZINC000005358029"	-10.538	-77.311
"ZINC000002688543"	-10.606	-77.309
"ZINC000016157866"	-10.801	-77.288
"ZINC000409354491"	-10.070	-77.283
"ZINC000003250179"	-10.399	-77.278
"ZINC000409021024"	-10.187	-77.273
"ZINC000000977147"	-10.142	-77.273
"ZINC000091526741"	-10.005	-77.264
"ZINC000012878645"	-10.187	-77.243
"ZINC000009762871"	-10.037	-77.231
"ZINC000033331377"	-10.478	-77.210
"ZINC000022998573"	-10.242	-77.179
"ZINC000002749297"	-10.152	-77.171
"ZINC000013424516"	-10.444	-77.166
"ZINC000225036405"	-10.430	-77.148
"ZINC000022627094"	-10.906	-77.112
"ZINC000022627209"	-10.685	-77.108
"ZINC000096154925"	-10.713	-77.099
"ZINC000002704325"	-10.119	-77.088
"ZINC000022428449"	-10.544	-77.077
"ZINC000019897602"	-10.086	-77.077
"ZINC000019850932"	-10.401	-77.075
"ZINC000263618420"	-10.030	-77.030
"ZINC000000188982"	-10.103	-77.028
"ZINC000013624175"	-10.067	-77.024
"ZINC000023157979"	-10.570	-77.022
"ZINC000012776936"	-10.596	-77.020
"ZINC000014607696"	-10.074	-77.018
"ZINC000006244755"	-10.097	-77.006
"ZINC000009307216"	-10.791	-76.999
"ZINC000009008736"	-10.470	-76.986
"ZINC000023158119"	-10.350	-76.967
"ZINC000020308346"	-10.205	-76.947
"ZINC000072325766"	-10.626	-76.947
"ZINC000223844946"	-10.141	-76.944
"ZINC000033284466"	-10.242	-76.936
"ZINC000067772767"	-10.422	-76.918
"ZINC000102515763"	-10.250	-76.908
"ZINC000029989269"	-10.168	-76.900
"ZINC000004164364"	-10.575	-76.891
"ZINC000019758983"	-10.178	-76.886
"ZINC000222573181"	-10.018	-76.883
"ZINC000023156950"	-10.174	-76.875
"ZINC000001328425"	-10.924	-76.870
"ZINC000016838987"	-10.928	-76.869
"ZINC000000626213"	-10.046	-76.865
"ZINC000002625332"	-10.600	-76.848
"ZINC000033011874"	-10.143	-76.847
"ZINC000022854132"	-10.099	-76.838
"ZINC000102531298"	-10.769	-76.829
"ZINC000096156086"	-10.664	-76.824
"ZINC000019933267"	-10.112	-76.816
"ZINC000952872973"	-10.418	-76.812
"ZINC000064817061"	-10.252	-76.803
"ZINC000009684920"	-10.387	-76.799
"ZINC000222639730"	-10.704	-76.799
"ZINC000065469350"	-10.282	-76.793
"ZINC000004132496"	-10.036	-76.788
"ZINC000022627225"	-10.596	-76.768
"ZINC000022909161"	-10.006	-76.760
"ZINC000019850283"	-10.008	-76.741
"ZINC000067218477"	-10.256	-76.739
"ZINC000102507100"	-10.109	-76.738
"ZINC000952975525"	-10.305	-76.726
"ZINC000008828311"	-10.175	-76.723
"ZINC001704300875"	-10.508	-76.721
"ZINC000409140826"	-10.024	-76.715
"ZINC000001441595"	-10.090	-76.703
"ZINC000015219318"	-10.607	-76.686
"ZINC000111931096"	-10.130	-76.664
"ZINC000008310774"	-10.292	-76.662
"ZINC000012507426"	-10.480	-76.659
"ZINC000058647950"	-10.626	-76.646
"ZINC000102478549"	-10.681	-76.641
"ZINC000040396360"	-10.465	-76.640
"ZINC000012247389"	-10.042	-76.621
"ZINC000101294022"	-10.396	-76.605
"ZINC000261363076"	-10.000	-76.603
"ZINC000022627206"	-11.188	-76.590
"ZINC000169754335"	-10.862	-76.583
"ZINC000010316707"	-10.425	-76.581
"ZINC000020743816"	-10.218	-76.557
"ZINC000013030692"	-10.413	-76.529
"ZINC000009615361"	-10.297	-76.529
"ZINC000022109228"	-10.075	-76.513
"ZINC000019910101"	-10.249	-76.510
"ZINC000008742852"	-10.364	-76.505
"ZINC000226768791"	-10.239	-76.503
"ZINC000299766165"	-10.652	-76.489
"ZINC000023934931"	-10.140	-76.438
"ZINC000002704637"	-10.135	-76.435
"ZINC000263588662"	-10.751	-76.427
"ZINC000019757399"	-10.024	-76.425
"ZINC000299795723"	-10.030	-76.417
"ZINC000216777892"	-10.100	-76.413
"ZINC000010007545"	-10.076	-76.401
"ZINC000023194202"	-10.332	-76.398
"ZINC000035291553"	-10.988	-76.392
"ZINC000057494928"	-10.297	-76.372
"ZINC000038897728"	-10.335	-76.359
"ZINC000017194605"	-11.031	-76.356
"ZINC000008613624"	-10.724	-76.352
"ZINC000032964466"	-10.013	-76.334
"ZINC000067299671"	-10.044	-76.334
"ZINC000010965375"	-10.268	-76.331
"ZINC000257203720"	-10.520	-76.329
"ZINC000008598748"	-10.165	-76.313
"ZINC000001376956"	-10.902	-76.313
"ZINC000021942663"	-10.330	-76.313
"ZINC000022854743"	-10.953	-76.311
"ZINC000009494280"	-10.258	-76.308
"ZINC000224363292"	-10.274	-76.299
"ZINC000010157696"	-10.294	-76.289
"ZINC000037556617"	-10.349	-76.284
"ZINC000408700742"	-10.300	-76.278
"ZINC000032102781"	-10.098	-76.272
"ZINC000005163641"	-10.850	-76.271
"ZINC000224362905"	-10.448	-76.255
"ZINC000019798760"	-10.368	-76.254
"ZINC000001810749"	-10.611	-76.249
"ZINC000011843765"	-10.358	-76.246
