"Title"	"Pharmacophore-Fit Score"	"docking score"
"ZINC000033175300"	66.220	-10.756
"ZINC000002713511"	65.300	-10.753
"ZINC000056907934"	66.830	-10.752
"ZINC000095101227"	75.050	-10.751
"ZINC000408549241"	65.140	-10.751
"ZINC000096184283"	65.360	-10.750
"ZINC000096190133"	65.440	-10.749
"ZINC000019703597"	65.880	-10.748
"ZINC000408567618"	75.360	-10.748
"ZINC000005432300"	65.440	-10.747
"ZINC000011753390"	66.170	-10.747
"ZINC000002830728"	66.040	-10.746
"ZINC000000647234"	66.550	-10.745
"ZINC000248319354"	65.680	-10.744
"ZINC000225861460"	65.950	-10.744
"ZINC000006753101"	65.950	-10.743
"ZINC000012302217"	64.770	-10.742
"ZINC000008637026"	65.920	-10.740
"ZINC000022854241"	65.860	-10.739
"ZINC000001146358"	66.390	-10.739
"ZINC000103529360"	64.170	-10.738
"ZINC000004349341"	65.420	-10.738
"ZINC000006732330"	66.560	-10.737
"ZINC000257311815"	65.960	-10.737
"ZINC000000618299"	65.760	-10.737
"ZINC000585289415"	66.290	-10.737
"ZINC000004122641"	66.380	-10.735
"ZINC000064858603"	76.190	-10.735
"ZINC000019759541"	67.160	-10.734
"ZINC000071746337"	96.040	-10.734
"ZINC000040268090"	75.970	-10.732
"ZINC000010640640"	64.650	-10.732
"ZINC000067758161"	65.800	-10.731
"ZINC000256049270"	66.290	-10.730
"ZINC000014095519"	66.060	-10.730
"ZINC000004784102"	65.610	-10.729
"ZINC000257206286"	65.550	-10.729
"ZINC000005867615"	64.690	-10.728
"ZINC000257344980"	66.140	-10.727
"ZINC000408763430"	66.170	-10.726
"ZINC000009970956"	66.190	-10.725
"ZINC000005813406"	64.560	-10.725
"ZINC000018275801"	66.970	-10.725
"ZINC000065489564"	66.040	-10.725
"ZINC000585291640"	65.700	-10.725
"ZINC000067285082"	65.220	-10.724
"ZINC000091493851"	66.510	-10.724
"ZINC000016648283"	65.130	-10.723
"ZINC000019840439"	65.520	-10.723
"ZINC000048360814"	65.940	-10.722
"ZINC000009310862"	65.600	-10.722
"ZINC000057487303"	65.890	-10.721
"ZINC000004738938"	65.990	-10.720
"ZINC000009519390"	66.590	-10.715
"ZINC000009293089"	65.350	-10.715
"ZINC000016524503"	65.510	-10.714
"ZINC000306122897"	66.660	-10.714
"ZINC000133601364"	66.050	-10.713
"ZINC000256027853"	64.950	-10.712
"ZINC000035844183"	65.310	-10.712
"ZINC000006256954"	66.750	-10.712
"ZINC000005321944"	65.720	-10.711
"ZINC000065398927"	64.650	-10.711
"ZINC000252493894"	65.880	-10.710
"ZINC000219604902"	65.980	-10.710
"ZINC000100232766"	65.660	-10.709
"ZINC000022628035"	65.500	-10.708
"ZINC000001153247"	65.940	-10.708
"ZINC000009190683"	65.720	-10.706
"ZINC000306131152"	65.460	-10.705
"ZINC000067216198"	67.080	-10.705
"ZINC000256047527"	65.770	-10.704
"ZINC000012301527"	64.760	-10.702
"ZINC000013843386"	66.080	-10.700
"ZINC000001146068"	66.390	-10.700
"ZINC000253537226"	65.430	-10.698
"ZINC000002201166"	66.680	-10.697
"ZINC000021674517"	65.700	-10.697
"ZINC000005343433"	65.780	-10.697
"ZINC000299766642"	64.200	-10.696
"ZINC000072133531"	65.310	-10.696
"ZINC000019348857"	75.810	-10.696
"ZINC000014230216"	65.680	-10.695
"ZINC000025282212"	65.450	-10.695
"ZINC000248322177"	75.810	-10.695
"ZINC000012816345"	66.180	-10.694
"ZINC000426490107"	66.770	-10.694
"ZINC000100217772"	66.030	-10.693
"ZINC000020200082"	65.760	-10.693
"ZINC000019790621"	66.100	-10.692
"ZINC000021138751"	65.750	-10.691
"ZINC000019117040"	65.380	-10.690
"ZINC000067259545"	65.840	-10.689
"ZINC000584893984"	65.950	-10.689
"ZINC000071767967"	66.160	-10.689
"ZINC000072400948"	67.270	-10.689
"ZINC000067258086"	65.690	-10.689
"ZINC000077393248"	65.970	-10.688
"ZINC000071280419"	66.240	-10.688
"ZINC000102876209"	65.240	-10.688
"ZINC000252535982"	64.370	-10.688
"ZINC000005298255"	66.020	-10.688
"ZINC000009569301"	65.910	-10.687
"ZINC000023157079"	65.810	-10.687
"ZINC000032981893"	65.010	-10.687
"ZINC000009752268"	65.290	-10.686
"ZINC000585177739"	66.880	-10.686
"ZINC000004224420"	66.280	-10.685
"ZINC000257318356"	66.120	-10.685
"ZINC000010903212"	65.490	-10.685
"ZINC000019568528"	65.810	-10.683
"ZINC000020178862"	66.170	-10.683
"ZINC000007780275"	65.480	-10.682
"ZINC000021784895"	65.880	-10.681
"ZINC000019910101"	66.310	-10.680
"ZINC000141545275"	66.200	-10.680
"ZINC000072121863"	75.600	-10.680
"ZINC000019341787"	65.610	-10.679
"ZINC000257234451"	65.690	-10.679
"ZINC000409056618"	65.680	-10.677
"ZINC000033314250"	65.990	-10.677
"ZINC000257312902"	65.750	-10.677
"ZINC000009663933"	65.800	-10.676
"ZINC000000934475"	65.420	-10.676
"ZINC000001376974"	76.040	-10.675
"ZINC000009513091"	65.750	-10.675
"ZINC000065535689"	65.860	-10.675
"ZINC000001137498"	66.540	-10.675
"ZINC000001376877"	66.000	-10.675
"ZINC000036340368"	65.440	-10.674
"ZINC000408703209"	66.530	-10.674
"ZINC000021935855"	64.710	-10.673
"ZINC000004394884"	64.870	-10.672
"ZINC000004164364"	65.550	-10.672
"ZINC000014974795"	66.420	-10.671
"ZINC000015669363"	65.480	-10.671
"ZINC000013145489"	67.130	-10.671
"ZINC000005533102"	65.820	-10.670
"ZINC000003128715"	75.170	-10.670
"ZINC000225859789"	67.060	-10.670
"ZINC000019923508"	65.450	-10.669
"ZINC000004311852"	65.640	-10.667
"ZINC000004869813"	66.010	-10.667
"ZINC000072395400"	65.530	-10.667
"ZINC000257314018"	66.710	-10.665
"ZINC000239338761"	66.500	-10.665
"ZINC000239338763"	66.380	-10.665
"ZINC000012776136"	65.440	-10.664
"ZINC000100138382"	65.630	-10.664
"ZINC000095726645"	76.650	-10.664
"ZINC000032572563"	66.250	-10.662
"ZINC000067319118"	66.120	-10.661
"ZINC000072392023"	66.150	-10.660
"ZINC000004412743"	65.320	-10.660
"ZINC000000846455"	66.270	-10.659
"ZINC000015012830"	65.410	-10.658
"ZINC000061718743"	65.900	-10.657
"ZINC000008976936"	65.690	-10.657
"ZINC000095477695"	66.300	-10.657
"ZINC000004841200"	67.020	-10.654
"ZINC000019564156"	65.460	-10.654
"ZINC000036357601"	65.900	-10.654
"ZINC000008230090"	66.650	-10.653
"ZINC000001439797"	65.970	-10.652
"ZINC000057774692"	66.270	-10.652
"ZINC000004091097"	65.950	-10.651
"ZINC000224127434"	65.630	-10.650
"ZINC000000860983"	65.150	-10.648
"ZINC000225643192"	65.800	-10.648
"ZINC000408814988"	65.330	-10.648
"ZINC000257283753"	66.380	-10.648
"ZINC000020533366"	65.560	-10.646
"ZINC000205790094"	65.240	-10.645
"ZINC000009694747"	66.170	-10.644
"ZINC000096267169"	66.570	-10.644
"ZINC000023054933"	66.310	-10.644
"ZINC000409231673"	65.840	-10.643
"ZINC000001342868"	66.320	-10.643
"ZINC000019341779"	65.400	-10.643
"ZINC000409329191"	66.280	-10.642
"ZINC000009390364"	77.090	-10.642
"ZINC000002361721"	66.810	-10.642
"ZINC000004164511"	66.200	-10.641
"ZINC000041148153"	65.620	-10.640
"ZINC000014672472"	66.310	-10.640
"ZINC000057487728"	65.430	-10.640
"ZINC000019332264"	66.220	-10.640
"ZINC000009093007"	65.990	-10.640
"ZINC000019666984"	76.300	-10.639
"ZINC000014949594"	66.450	-10.639
"ZINC001800409903"	66.720	-10.638
"ZINC000009340537"	75.870	-10.638
"ZINC000000845904"	66.330	-10.638
"ZINC000001355282"	66.980	-10.638
"ZINC000006173127"	66.970	-10.634
"ZINC000001410888"	65.820	-10.634
"ZINC000009093046"	65.880	-10.634
"ZINC000253500858"	66.300	-10.634
"ZINC000011935748"	65.470	-10.632
"ZINC000260793212"	65.720	-10.629
"ZINC000225546979"	64.440	-10.629
"ZINC000585262878"	65.520	-10.629
"ZINC000009650305"	65.430	-10.628
"ZINC000067258126"	65.900	-10.628
"ZINC000002118833"	65.820	-10.627
"ZINC000004870198"	65.930	-10.626
"ZINC000057488430"	66.230	-10.625
"ZINC000009381091"	65.640	-10.625
"ZINC000096148165"	66.020	-10.624
"ZINC000020600829"	65.840	-10.624
"ZINC000033247734"	66.860	-10.623
"ZINC000059307524"	65.430	-10.622
"ZINC000022257422"	67.040	-10.622
"ZINC000017245132"	76.420	-10.622
"ZINC000102578203"	66.160	-10.622
"ZINC000077197891"	66.060	-10.621
