"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000012360372"	-10.966	-74.893
"ZINC000261363707"	-11.233	-74.882
"ZINC000006237922"	-10.912	-74.880
"ZINC000012256672"	-10.557	-74.815
"ZINC000426474211"	-10.331	-74.745
"ZINC000012276421"	-10.389	-74.742
"ZINC000299787023"	-10.796	-74.727
"ZINC000017086728"	-10.295	-74.722
"ZINC000021942703"	-10.067	-74.693
"ZINC000024965611"	-10.906	-74.672
"ZINC000004899283"	-11.135	-74.670
"ZINC000082106372"	-10.273	-74.612
"ZINC000077197906"	-10.204	-74.610
"ZINC000002704749"	-10.314	-74.603
"ZINC000013083318"	-10.480	-74.598
"ZINC000096118673"	-10.452	-74.579
"ZINC000095644650"	-10.208	-74.556
"ZINC000009426902"	-10.042	-74.550
"ZINC000018203865"	-11.079	-74.550
"ZINC000057487781"	-10.839	-74.541
"ZINC000064859588"	-11.048	-74.535
"ZINC000016247139"	-10.016	-74.507
"ZINC000032969764"	-10.196	-74.491
"ZINC000100331704"	-10.011	-74.488
"ZINC000020418173"	-11.172	-74.484
"ZINC000019452018"	-10.291	-74.482
"ZINC000408608403"	-10.492	-74.468
"ZINC000033327344"	-10.117	-74.468
"ZINC000023311855"	-10.350	-74.467
"ZINC000005710513"	-10.235	-74.429
"ZINC000020503955"	-10.338	-74.410
"ZINC000009926202"	-10.513	-74.403
"ZINC000095478942"	-10.850	-74.392
"ZINC000001305699"	-10.087	-74.389
"ZINC000003366142"	-10.801	-74.385
"ZINC000072350328"	-11.162	-74.385
"ZINC000040268870"	-10.233	-74.361
"ZINC000001196235"	-10.978	-74.337
"ZINC000057314054"	-10.131	-74.335
"ZINC000001102343"	-10.825	-74.334
"ZINC000002409674"	-10.320	-74.327
"ZINC000225697569"	-10.616	-74.310
"ZINC000409358486"	-10.391	-74.293
"ZINC000001433772"	-10.446	-74.292
"ZINC000082096281"	-10.523	-74.282
"ZINC000012637262"	-11.850	-74.273
"ZINC000013165243"	-10.117	-74.267
"ZINC000067258049"	-10.099	-74.266
"ZINC000007669728"	-10.403	-74.262
"ZINC000020349787"	-10.412	-74.262
"ZINC000057487233"	-10.502	-74.256
"ZINC000001345365"	-10.315	-74.244
"ZINC000408763430"	-10.726	-74.229
"ZINC000002716492"	-10.198	-74.212
"ZINC000019797099"	-10.080	-74.197
"ZINC000095101227"	-10.751	-74.196
"ZINC000257213175"	-11.088	-74.174
"ZINC000005093500"	-10.092	-74.147
"ZINC000013696570"	-10.053	-74.103
"ZINC000057511101"	-10.765	-74.056
"ZINC000107949694"	-10.503	-74.030
"ZINC000256047361"	-10.548	-74.002
"ZINC000002621693"	-11.063	-73.988
"ZINC000006177144"	-10.870	-73.975
"ZINC000012256876"	-10.862	-73.970
"ZINC000096160629"	-10.140	-73.964
"ZINC000072432569"	-10.260	-73.958
"ZINC000013030805"	-10.323	-73.949
"ZINC000004327320"	-10.070	-73.934
"ZINC000002713511"	-10.753	-73.915
"ZINC000044845570"	-10.029	-73.908
"ZINC000032981893"	-10.687	-73.863
"ZINC000039942876"	-10.791	-73.838
"ZINC000012134255"	-10.802	-73.836
"ZINC000017053906"	-10.517	-73.827
"ZINC000013060194"	-11.018	-73.822
"ZINC000100613658"	-10.037	-73.822
"ZINC000001157539"	-10.587	-73.817
"ZINC000426490579"	-10.356	-73.802
"ZINC000227143628"	-10.102	-73.797
"ZINC000028939940"	-10.339	-73.795
"ZINC000408704758"	-10.364	-73.776
"ZINC000067688709"	-10.484	-73.754
"ZINC000002803030"	-10.789	-73.739
"ZINC000018029783"	-10.278	-73.720
"ZINC000006510043"	-10.012	-73.711
"ZINC000008935948"	-10.121	-73.710
"ZINC000257296410"	-10.262	-73.679
"ZINC000216941936"	-10.108	-73.658
"ZINC000102945443"	-10.168	-73.658
"ZINC000000645150"	-11.364	-73.647
"ZINC000426479121"	-10.281	-73.624
"ZINC000023077227"	-10.283	-73.607
"ZINC000009373019"	-10.096	-73.601
"ZINC000010640640"	-10.732	-73.581
"ZINC000215453073"	-10.888	-73.578
"ZINC000001033877"	-10.432	-73.577
"ZINC000256001940"	-10.793	-73.572
"ZINC000019342502"	-10.889	-73.538
"ZINC000409014347"	-10.011	-73.505
"ZINC000012391346"	-10.196	-73.492
"ZINC000019524851"	-10.421	-73.489
"ZINC000000573682"	-10.420	-73.477
"ZINC000004772754"	-10.985	-73.476
"ZINC000012134321"	-11.314	-73.449
"ZINC000012390179"	-11.365	-73.448
"ZINC000005106558"	-10.797	-73.445
"ZINC000071746258"	-10.294	-73.421
"ZINC000016524479"	-10.455	-73.420
"ZINC000037555470"	-10.126	-73.400
"ZINC000009569253"	-10.185	-73.394
"ZINC000524732802"	-10.023	-73.390
"ZINC000028428040"	-10.095	-73.389
"ZINC000409000686"	-10.503	-73.383
"ZINC000408551314"	-10.131	-73.378
"ZINC000409108685"	-10.506	-73.376
"ZINC000036619055"	-10.591	-73.371
"ZINC000014058214"	-10.456	-73.349
"ZINC000019524915"	-10.237	-73.342
"ZINC000001342868"	-10.643	-73.336
"ZINC000072120898"	-10.157	-73.319
"ZINC000006173130"	-10.374	-73.306
"ZINC000409281460"	-10.107	-73.278
"ZINC000005451682"	-10.253	-73.276
"ZINC000009445594"	-11.201	-73.275
"ZINC000001015541"	-10.110	-73.273
"ZINC000409206694"	-10.274	-73.263
"ZINC000019707680"	-10.596	-73.251
"ZINC000064858603"	-10.735	-73.247
"ZINC000000812028"	-10.581	-73.240
"ZINC000179245454"	-10.350	-73.204
"ZINC000007963590"	-10.075	-73.175
"ZINC000004935264"	-10.123	-73.162
"ZINC000426652182"	-11.555	-73.157
"ZINC000138361877"	-10.537	-73.154
"ZINC000001376956"	-10.269	-73.149
"ZINC000408692613"	-10.318	-73.130
"ZINC000000024779"	-10.466	-73.097
"ZINC000059477633"	-10.938	-73.095
"ZINC000023399227"	-10.202	-73.088
"ZINC000100147053"	-10.062	-73.086
"ZINC000058647950"	-11.266	-73.053
"ZINC000091860900"	-10.213	-73.050
"ZINC000426628703"	-10.192	-73.047
"ZINC000057413149"	-10.260	-73.047
"ZINC000009420708"	-10.063	-73.042
"ZINC000017077029"	-10.343	-73.038
"ZINC000072349998"	-10.317	-73.034
"ZINC000022606028"	-10.170	-73.027
"ZINC000019754427"	-10.148	-73.025
"ZINC000106764125"	-10.252	-73.024
"ZINC000019568477"	-11.095	-73.013
"ZINC000022513835"	-10.090	-73.005
"ZINC000238950423"	-10.180	-72.987
"ZINC000021784895"	-10.681	-72.987
"ZINC000001146068"	-10.700	-72.983
"ZINC000426628266"	-11.706	-72.980
"ZINC000013142993"	-10.083	-72.957
"ZINC000011843765"	-10.196	-72.943
"ZINC000095384129"	-10.213	-72.935
"ZINC000000852610"	-10.862	-72.905
"ZINC000015669363"	-10.671	-72.898
"ZINC000001390946"	-10.118	-72.892
"ZINC001529126047"	-10.446	-72.884
"ZINC000822634260"	-10.165	-72.862
"ZINC000067258083"	-10.281	-72.857
"ZINC000001314984"	-10.353	-72.842
"ZINC000036329687"	-10.522	-72.836
"ZINC000013726569"	-10.760	-72.807
"ZINC000100647024"	-10.198	-72.789
"ZINC000002796296"	-10.021	-72.784
"ZINC000261361585"	-11.035	-72.773
"ZINC000017245132"	-10.622	-72.761
"ZINC000001102344"	-10.565	-72.760
"ZINC000012134711"	-10.252	-72.759
"ZINC000408620822"	-10.224	-72.738
"ZINC000004828935"	-11.187	-72.715
"ZINC000017074017"	-10.509	-72.714
"ZINC000005551602"	-10.204	-72.709
"ZINC000102933479"	-11.251	-72.704
"ZINC000000805694"	-10.280	-72.698
"ZINC000036719439"	-10.254	-72.696
"ZINC000008088391"	-10.536	-72.693
"ZINC000409215227"	-10.143	-72.680
"ZINC000010441329"	-11.821	-72.670
"ZINC000022235493"	-10.824	-72.667
"ZINC000009481732"	-10.965	-72.659
"ZINC000019217515"	-10.886	-72.653
"ZINC000023399483"	-10.240	-72.647
"ZINC000225376503"	-11.396	-72.622
"ZINC000009752268"	-10.686	-72.607
"ZINC001775972675"	-10.249	-72.605
"ZINC000408624119"	-10.857	-72.591
"ZINC000004371354"	-10.866	-72.591
"ZINC000019376498"	-11.544	-72.587
"ZINC001775953755"	-10.440	-72.582
"ZINC000012276417"	-10.603	-72.580
"ZINC000004062588"	-10.422	-72.571
"ZINC000408649983"	-10.577	-72.566
"ZINC000224232528"	-11.538	-72.560
"ZINC000426379701"	-11.000	-72.559
"ZINC000018193168"	-10.542	-72.525
"ZINC000408954473"	-10.438	-72.509
"ZINC000015224780"	-10.298	-72.501
"ZINC000005516561"	-10.202	-72.495
"ZINC000013624175"	-10.364	-72.487
"ZINC000077471795"	-10.212	-72.487
"ZINC000091951331"	-10.588	-72.459
"ZINC000409225177"	-10.112	-72.442
"ZINC000019790621"	-10.692	-72.430
"ZINC000019376502"	-10.585	-72.427
"ZINC000004164219"	-10.263	-72.401
"ZINC000004715778"	-10.355	-72.400
"ZINC000306122899"	-10.778	-72.375
"ZINC000008637026"	-10.740	-72.359
"ZINC000257237925"	-10.370	-72.355
"ZINC000005203480"	-10.153	-72.351
"ZINC000019332056"	-10.228	-72.342
"ZINC000036358890"	-10.087	-72.337
"ZINC000252498675"	-10.218	-72.310
"ZINC000101511186"	-10.233	-72.308
"ZINC000011663486"	-10.947	-72.302
"ZINC000020139007"	-10.266	-72.291
"ZINC000222443968"	-10.843	-72.288
"ZINC000019879852"	-11.561	-72.277
"ZINC000008900806"	-10.616	-72.269
"ZINC000585291183"	-10.409	-72.262
"ZINC000013996512"	-10.181	-72.226
"ZINC000261364173"	-11.122	-72.224
"ZINC000223149541"	-10.526	-72.223
"ZINC000096191238"	-10.484	-72.201
"ZINC000013083317"	-10.503	-72.199
"ZINC000102546807"	-10.824	-72.191
"ZINC000409340055"	-10.289	-72.190
"ZINC000002201166"	-10.697	-72.186
"ZINC000139950159"	-10.083	-72.184
"ZINC000007341998"	-10.171	-72.176
"ZINC000257259652"	-10.776	-72.172
"ZINC000257283753"	-10.648	-72.171
"ZINC000054313291"	-10.509	-72.171
"ZINC000013471621"	-11.226	-72.165
"ZINC000019898694"	-10.003	-72.146
"ZINC000005886246"	-10.513	-72.106
"ZINC000022768093"	-10.024	-72.101
"ZINC000009834553"	-10.268	-72.084
"ZINC000248319354"	-10.744	-72.070
"ZINC000067258211"	-10.495	-72.054
"ZINC000017101735"	-11.117	-72.030
"ZINC000067641965"	-10.317	-72.020
"ZINC000072425800"	-10.239	-72.018
"ZINC000012276561"	-10.319	-72.004
"ZINC000003218479"	-10.058	-72.003
"ZINC000091409999"	-11.088	-71.998
"ZINC000041150195"	-10.469	-71.989
"ZINC000426465202"	-10.599	-71.975
"ZINC000019564149"	-10.530	-71.974
"ZINC000064949645"	-10.435	-71.966
"ZINC000299766642"	-10.696	-71.954
"ZINC000020418830"	-10.786	-71.954
"ZINC000008964363"	-10.091	-71.952
"ZINC000040141772"	-10.258	-71.941
"ZINC000064859583"	-10.238	-71.938
"ZINC000012414526"	-10.318	-71.936
"ZINC000330268062"	-10.193	-71.925
"ZINC000017178577"	-10.022	-71.925
"ZINC000059105954"	-11.830	-71.918
"ZINC000003618605"	-10.123	-71.911
"ZINC000013000548"	-10.134	-71.903
"ZINC000244882630"	-10.327	-71.887
"ZINC000409296833"	-10.480	-71.883
"ZINC000006107724"	-10.458	-71.882
"ZINC000067621678"	-10.774	-71.881
"ZINC000006790034"	-10.189	-71.879
"ZINC000002355864"	-10.342	-71.870
"ZINC000095726748"	-10.521	-71.860
"ZINC000001493301"	-10.360	-71.780
"ZINC000009545119"	-10.546	-71.775
"ZINC000025783468"	-11.737	-71.773
"ZINC000012105900"	-10.387	-71.767
"ZINC000012134347"	-10.432	-71.763
"ZINC000071523917"	-10.394	-71.758
"ZINC000005378175"	-10.000	-71.746
"ZINC000067447189"	-10.184	-71.710
"ZINC000008230090"	-10.653	-71.706
"ZINC000225859789"	-10.670	-71.701
"ZINC001775978556"	-12.050	-71.681
"ZINC000058647824"	-10.160	-71.673
"ZINC000222255238"	-10.409	-71.669
"ZINC000006925267"	-10.160	-71.668
"ZINC000001324811"	-10.518	-71.659
"ZINC000256048289"	-10.324	-71.647
"ZINC000005882947"	-10.163	-71.645
"ZINC000226768560"	-10.204	-71.644
"ZINC000000812025"	-10.033	-71.636
"ZINC000225664214"	-10.164	-71.624
"ZINC000257283660"	-10.987	-71.619
"ZINC000019332293"	-10.575	-71.609
"ZINC000408542162"	-10.376	-71.578
"ZINC000006532925"	-10.285	-71.566
"ZINC000051319058"	-10.396	-71.561
"ZINC000256047858"	-10.305	-71.546
"ZINC000096193893"	-10.054	-71.541
"ZINC000024007120"	-10.064	-71.536
"ZINC000020211196"	-10.047	-71.512
"ZINC000009592135"	-10.408	-71.507
"ZINC000040131838"	-10.569	-71.502
"ZINC000226767767"	-10.618	-71.494
"ZINC000409217894"	-10.828	-71.482
"ZINC000019568591"	-10.330	-71.481
"ZINC000067239110"	-10.199	-71.459
"ZINC000040134875"	-10.472	-71.452
"ZINC000257262519"	-10.449	-71.443
"ZINC000227144100"	-10.433	-71.433
"ZINC000010112082"	-10.503	-71.397
"ZINC000095917655"	-10.763	-71.395
"ZINC000100723878"	-10.429	-71.389
"ZINC000006279282"	-10.460	-71.380
"ZINC000020785543"	-10.617	-71.361
"ZINC000252479497"	-10.831	-71.317
"ZINC000008289039"	-10.272	-71.314
"ZINC000097547827"	-10.533	-71.303
"ZINC000100213087"	-11.702	-71.295
"ZINC000004869813"	-10.667	-71.291
"ZINC000045887562"	-10.190	-71.281
"ZINC000048373878"	-10.766	-71.278
"ZINC000001324505"	-11.105	-71.267
"ZINC000408700772"	-10.446	-71.263
"ZINC000256048739"	-10.257	-71.226
"ZINC000072389775"	-10.044	-71.184
"ZINC000071281959"	-10.281	-71.168
"ZINC000059687857"	-10.394	-71.168
"ZINC000000986286"	-10.291	-71.165
"ZINC000252489340"	-10.002	-71.158
"ZINC000033262593"	-10.416	-71.137
"ZINC000013424355"	-10.148	-71.135
"ZINC000067956500"	-10.419	-71.126
